PatchId,FileName,FullPath,CompletedDate
1,2021.12.03_1_PriceInstrument_ADD_COLUMN_OriginLocationId.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2021.12.03_1_PriceInstrument_ADD_COLUMN_OriginLocationId.sql,2022-05-23 13:29:54.530
2,2021.12.03_2_PriceInstrument_ReBuild_IX_PriceInstrument_FKs.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2021.12.03_2_PriceInstrument_ReBuild_IX_PriceInstrument_FKs.sql,2022-05-23 13:29:55.260
3,2021.12.06_CalculatedValueVariable_ADD_COLUMN_AllowMultiOrigin.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2021.12.06_CalculatedValueVariable_ADD_COLUMN_AllowMultiOrigin.sql,2022-05-23 13:29:56.033
4,2021.12.06_CalculatedValueVariable_ADD_COLUMN_CalculatedValueCounterPartyMatchTypeCvId.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2021.12.06_CalculatedValueVariable_ADD_COLUMN_CalculatedValueCounterPartyMatchTypeCvId.sql,2022-05-23 13:29:56.920
5,2021.12.20_QuoteConfigurationMapping_ADD_COLUMN_AlternateValuationProduct.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2021.12.20_QuoteConfigurationMapping_ADD_COLUMN_AlternateValuationProduct.sql,2022-05-23 13:29:57.703
6,2021.12.20_QuoteConfigurationMapping_ADD_COLUMN_PricePeriodStartOffset.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2021.12.20_QuoteConfigurationMapping_ADD_COLUMN_PricePeriodStartOffset.sql,2022-05-23 13:29:58.343
7,2022.01.05_QuoteConfiguration_And_Mapping_ADD_COLUMN_CalendarId.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2022.01.05_QuoteConfiguration_And_Mapping_ADD_COLUMN_CalendarId.sql,2022-05-23 13:29:59.053
8,2022.01.11_DTNPriceFileImportLineItem_MODIFY_COLUMNS_ReferenceDataIds_SetType_NVarchar_75.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2022.01.11_DTNPriceFileImportLineItem_MODIFY_COLUMNS_ReferenceDataIds_SetType_NVarchar_75.sql,2022-05-23 13:30:01.937
9,2022.01.11_DTNPriceFileImportLineItem_MODIFY_COLUMN_TransmissionId_AllowNulls.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2022.01.11_DTNPriceFileImportLineItem_MODIFY_COLUMN_TransmissionId_AllowNulls.sql,2022-05-23 13:30:02.820
10,2022.02.02_vMostRecentPriceForTranslation.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2022.02.02_vMostRecentPriceForTranslation.sql,2022-05-23 13:30:03.880
11,2022.02.24_DeliveryPeriodConfiguration.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V5_9\2022.02.24_DeliveryPeriodConfiguration.sql,2022-05-23 13:30:04.610
12,2022_02_01_Migrate_SourceIdentifiers_Product_Location_Counterparty.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_02_01_Migrate_SourceIdentifiers_Product_Location_Counterparty.sql,2022-05-23 13:30:09.773
13,2022_02_03_Migrate_MarketPlatformProductConfiguration.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_02_03_Migrate_MarketPlatformProductConfiguration.sql,2022-05-23 13:30:10.617
14,2022_03_08_ALTER_MarketPlatformProductConfig_Add_NotSoldSeparately.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_03_08_ALTER_MarketPlatformProductConfig_Add_NotSoldSeparately.sql,2022-05-23 13:30:11.250
15,2022_03_14_MIGRATION_MarketPlatformInstrument.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_03_14_MIGRATION_MarketPlatformInstrument.sql,2022-05-23 13:30:12.573
16,2022_03_17_ALTER_TradeEntryPrice_Add_FuturesMonth.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_03_17_ALTER_TradeEntryPrice_Add_FuturesMonth.sql,2022-05-23 13:30:13.273
17,2022_03_23_ALTER_TradeEntry_Add_IsPendingPricing_PricedDateTime.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_03_23_ALTER_TradeEntry_Add_IsPendingPricing_PricedDateTime.sql,2022-05-23 13:30:14.120
18,2022_03_29_ALTER_TradeEntry_IsPendingPricing_NotNullable.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_03_29_ALTER_TradeEntry_IsPendingPricing_NotNullable.sql,2022-05-23 13:30:14.807
19,2022_03_31_CREATE_MarketPlatformCounterPartyConfiguration.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_03_31_CREATE_MarketPlatformCounterPartyConfiguration.sql,2022-05-23 13:30:15.447
20,2022_04_04_CREATE_TABLE_AllocationDataImportLineItem.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_04_CREATE_TABLE_AllocationDataImportLineItem.sql,2022-05-23 13:30:16.817
21,2022_04_04_CREATE_TABLE_Allocation_AllocationProduct_AllocationVolume.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_04_CREATE_TABLE_Allocation_AllocationProduct_AllocationVolume.sql,2022-05-23 13:30:17.660
22,2022_04_04_sd_DataTranslationDefinition_DtnFlatFileAllocationImport.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_04_sd_DataTranslationDefinition_DtnFlatFileAllocationImport.sql,2022-05-23 13:30:18.210
23,2022_04_05_CREATE_AvailableVolumeTables.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_05_CREATE_AvailableVolumeTables.sql,2022-05-23 13:30:19.163
24,2022_04_05_MIGRATION_AvailableVolume.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_05_MIGRATION_AvailableVolume.sql,2022-05-23 13:30:20.010
25,2022_04_07_ALTER_MarketPlatformInstrument_Add_LocationAssociationTypeCvId.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_07_ALTER_MarketPlatformInstrument_Add_LocationAssociationTypeCvId.sql,2022-05-23 13:30:20.670
26,2022_04_07_ALTER_TradeEntrySetupProperty_Drop_Quantity.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_07_ALTER_TradeEntrySetupProperty_Drop_Quantity.sql,2022-05-23 13:30:21.283
27,2022_04_07_MIGRATION_SYNC_MissingAvailableVolumes.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_07_MIGRATION_SYNC_MissingAvailableVolumes.sql,2022-05-23 13:30:21.883
28,2022_04_08 _ALTER_AllocationDataImportLineItem_ADD_COLUMS_FileImportId_ImportedDateTime.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_08 _ALTER_AllocationDataImportLineItem_ADD_COLUMS_FileImportId_ImportedDateTime.sql,2022-05-23 13:30:22.757
29,2022_04_11 _ALTER_AllocationDataImportLineItem_ADD_COLUMS_SupplierName.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_11 _ALTER_AllocationDataImportLineItem_ADD_COLUMS_SupplierName.sql,2022-05-23 13:30:23.387
30,2022_04_11_1_MarketPlatformInstrument_ADD_COLUMN_CalendarId_.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_11_1_MarketPlatformInstrument_ADD_COLUMN_CalendarId_.sql,2022-05-23 13:30:24.153
31,2022_04_11_2_Calendar_Migration_AddMarketPlatformCalendars.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_11_2_Calendar_Migration_AddMarketPlatformCalendars.sql,2022-05-23 13:30:24.920
32,2022_04_12 _ALTER_Allocation_ADD_COLUMS_AllocationProduct.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_12 _ALTER_Allocation_ADD_COLUMS_AllocationProduct.sql,2022-05-23 13:30:25.550
33,2022_04_13 _ALTER_AvailableVolume_ADD_COLUMS_IsActive.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_13 _ALTER_AvailableVolume_ADD_COLUMS_IsActive.sql,2022-05-23 13:30:26.377
34,2022_04_13 _ALTER_AvailableVolume_ADD_COLUMS_SourceAllocation.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_13 _ALTER_AvailableVolume_ADD_COLUMS_SourceAllocation.sql,2022-05-23 13:30:27.223
35,2022_04_25 _MIGRATION_Market_Platform_Instrument_Price_Configurations.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_25 _MIGRATION_Market_Platform_Instrument_Price_Configurations.sql,2022-05-23 13:30:28.333
36,2022_04_25_1_TASMarketPlatformInstruments.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_25_1_TASMarketPlatformInstruments.sql,2022-05-23 13:30:28.877
37,2022_04_26_CREATE_MarketPlatformInstrumentRolesTable.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_26_CREATE_MarketPlatformInstrumentRolesTable.sql,2022-05-23 13:30:29.617
38,2022_05_02_CREATE_PriceNotificationDistributionTables.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_02_CREATE_PriceNotificationDistributionTables.sql,2022-05-23 13:30:30.157
39,2022_05_04_ALTER_PriceNotificationMessage_ADD_COLUMN_ValidForDistribution.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_04_ALTER_PriceNotificationMessage_ADD_COLUMN_ValidForDistribution.sql,2022-05-23 13:30:30.910
40,2022_05_06_CREATE_PriceNotificationCounterPartyConfiguration.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_06_CREATE_PriceNotificationCounterPartyConfiguration.sql,2022-05-23 13:30:31.460
41,2022_05_08__ADD_PriceNotificationDistributionType_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_08__ADD_PriceNotificationDistributionType_CodeValue_CodeSet_Data.sql,2022-05-23 13:30:34.020
42,2022_05_09_16_sd_SeedPriceNotificationDistributionMethods.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_09_16_sd_SeedPriceNotificationDistributionMethods.sql,2022-05-23 13:30:34.567
43,2022_05_09_16_sd_SeedPriceNotificationDistributionMethods.sql.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_09_16_sd_SeedPriceNotificationDistributionMethods.sql.sql,2022-05-23 13:30:35.117
44,2022_05_10_ALTER_PriceNotificationDistributionMapping_ADD_Created_Updated_Time.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_10_ALTER_PriceNotificationDistributionMapping_ADD_Created_Updated_Time.sql,2022-05-23 13:30:35.907
45,2022_05_10_ALTER_DeliveryPeriodConfiguration_ADD_COLUMNS_InstrumentName_DeliveryPeriodFromDateTime_DeliveryPeriodToDateTime_DeliveryPeriodName_FutureMonth.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_10_ALTER_DeliveryPeriodConfiguration_ADD_COLUMNS_InstrumentName_DeliveryPeriodFromDateTime_DeliveryPeriodToDateTime_DeliveryPeriodName_FutureMonth.sql,2022-06-15 14:47:17.140
46,2022_06_21_sd_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_21_sd_CodeValue_CodeSet_Data.sql,2022-06-21 12:01:11.037
47,2022_06_21_1_sd_Menu_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_21_1_sd_Menu_Data.sql,2022-06-21 12:38:04.113
48,2022_06_21_2_sd_SeedInitialDashboardWidgets.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_21_2_sd_SeedInitialDashboardWidgets.sql,2022-06-21 12:38:05.553
49,2022_07_15_CUSTOM_DeleteTASMarketPlatformInstruments.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_15_CUSTOM_DeleteTASMarketPlatformInstruments.sql,2022-07-18 14:36:20.520
50,2022_07_15_CUSTOM_sd_CodeValue_CodeSet_Data.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_15_CUSTOM_sd_CodeValue_CodeSet_Data.sql,2022-07-18 14:36:22.453
51,2022_07_15_CUSTOM_sd_Menu_Data.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_15_CUSTOM_sd_Menu_Data.sql,2022-07-18 14:36:22.777
52,2022_07_15_CUSTOM_sd_SeedInitialDashboardWidgets.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_15_CUSTOM_sd_SeedInitialDashboardWidgets.sql,2022-07-18 14:36:23.110
53,2022_06_17_FixWidgetNames_Open_To_Pending.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_17_FixWidgetNames_Open_To_Pending.sql,2022-07-18 14:36:23.257
54,2022_06_21_CREATE_MarketPlatformPriceAdjustmentTables.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_21_CREATE_MarketPlatformPriceAdjustmentTables.sql,2022-07-18 14:36:23.437
55,2022_06_22_CREATE_TABLE_LoadingNumber.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_22_CREATE_TABLE_LoadingNumber.sql,2022-07-18 14:36:23.687
56,2022_06_30_ALTER_MarketPlatformInstrument_Add_ProductAssociationTypeCvId.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_30_ALTER_MarketPlatformInstrument_Add_ProductAssociationTypeCvId.sql,2022-07-18 14:36:23.843
57,2022_07_07_ALTER_MarketPlatformInstrument_ADD_COLUMN_OriginLocationAssociationTypeCvId.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_07_ALTER_MarketPlatformInstrument_ADD_COLUMN_OriginLocationAssociationTypeCvId.sql,2022-07-18 14:36:23.997
58,2022_07_07_ALTER_PriceConfiguration_ADD_COLUMN_FuturesPriceRequired.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_07_ALTER_PriceConfiguration_ADD_COLUMN_FuturesPriceRequired.sql,2022-07-18 14:36:24.143
59,2022_07_19_CUSTOM_sd_SeedInitialDashboardWidgets.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_19_CUSTOM_sd_SeedInitialDashboardWidgets.sql,2022-07-19 13:35:52.987
60,2022_07_13_ALTER_TradeEntry_ADD_ExternalProcessStatus_COLUMNS.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_13_ALTER_TradeEntry_ADD_ExternalProcessStatus_COLUMNS.sql,2022-07-19 13:35:53.143
61,2022_07_25_ALTER_TradeEntrySetupVolumeConstraints_ADD_MonthlyVolume_COLUMNS.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_25_ALTER_TradeEntrySetupVolumeConstraints_ADD_MonthlyVolume_COLUMNS.sql,2022-08-16 13:32:04.147
62,2022_07_27_ALTER_MarketPlatformInstrument_ADD_COLUMN_AllowsPreferredCarriers.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_27_ALTER_MarketPlatformInstrument_ADD_COLUMN_AllowsPreferredCarriers.sql,2022-08-16 13:32:04.903
63,2022_07_27_CREATE_TABLE_MarketPlatformLocationConfiguration.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_27_CREATE_TABLE_MarketPlatformLocationConfiguration.sql,2022-08-16 13:32:05.660
64,2022_07_27_CREATE_TABLE_TradeEntryDetailCounterPartyAssociation.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_27_CREATE_TABLE_TradeEntryDetailCounterPartyAssociation.sql,2022-08-16 13:32:06.287
65,2022_08_05_ALTER_CounterPartyCredit_ADD_COLUMNS_CreditWatchPercentage_CreditHoldPercentage_CreditStatusOverrideCvId.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_05_ALTER_CounterPartyCredit_ADD_COLUMNS_CreditWatchPercentage_CreditHoldPercentage_CreditStatusOverrideCvId.sql,2022-08-16 13:32:06.897
66,2022_08_12_ALTER_CounterPartyCredit_ADD_COLUMN_IsActive.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_12_ALTER_CounterPartyCredit_ADD_COLUMN_IsActive.sql,2022-08-16 13:32:07.503
67,2022_08_16_sd_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_16_sd_CodeValue_CodeSet_Data.sql,2022-08-16 13:32:10.930
68,2022_08_10_1_CREATE_MarketPlatformInstrumentSubtype.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_1_CREATE_MarketPlatformInstrumentSubtype.sql,2022-09-07 13:57:14.657
69,2022_08_10_2_sd_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_2_sd_CodeValue_CodeSet_Data.sql,2022-09-07 13:57:15.553
70,2022_08_10_3_ValidateCodeSets_VolumeDistributionType_ContractPricingMethod.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_3_ValidateCodeSets_VolumeDistributionType_ContractPricingMethod.sql,2022-09-07 13:57:15.783
71,2022_08_10_4_Seed_Forward_MarketPlatformInstrumentSubtypes.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_4_Seed_Forward_MarketPlatformInstrumentSubtypes.sql,2022-09-07 13:57:15.987
72,2022_08_10_5_ALTER_TRADEENTRY_ADD_MarketPlatformInstrumentSubtypeId.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_5_ALTER_TRADEENTRY_ADD_MarketPlatformInstrumentSubtypeId.sql,2022-09-07 13:57:16.187
73,2022_08_10_CREATE_TABLE_QuantityDistributionWeight.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_CREATE_TABLE_QuantityDistributionWeight.sql,2022-09-07 13:57:16.370
74,2022_08_15_DROP_TradeEntrySetupProperty.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_15_DROP_TradeEntrySetupProperty.sql,2022-09-07 13:57:16.507
75,2022_08_16_UPDATE_MenuIItem_HeatingDayMaintenance_Url.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_16_UPDATE_MenuIItem_HeatingDayMaintenance_Url.sql,2022-09-07 13:57:16.640
76,2022_08_17_DELETE_TradeEntrySetupPropertyEntityRegister.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_17_DELETE_TradeEntrySetupPropertyEntityRegister.sql,2022-09-07 13:57:16.787
77,2022_08_23_sd_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_23_sd_CodeValue_CodeSet_Data.sql,2022-09-07 13:57:17.590
78,2022_08_25_ALTER_MarketPlatformInstrumentSubtype_ADD_COLUMN_AllowBid.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_25_ALTER_MarketPlatformInstrumentSubtype_ADD_COLUMN_AllowBid.sql,2022-09-07 13:57:17.743
79,2022_08_25_ALTER_MarketPlatformInstrumentSubtype_ADD_COLUMN_AllowMarket.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_25_ALTER_MarketPlatformInstrumentSubtype_ADD_COLUMN_AllowMarket.sql,2022-09-07 13:57:17.900
80,2022_08_26_UPDATE_MarketPlatformInstrumentSubtype_AllowBid_And_AllowMarket.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_26_UPDATE_MarketPlatformInstrumentSubtype_AllowBid_And_AllowMarket.sql,2022-09-07 13:57:18.053
81,2022_09_07_Remove_Invalid_Subtypes.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_07_Remove_Invalid_Subtypes.sql,2022-09-07 13:57:18.180
82,2022_09_08_12_sd_SeedInitialDashboardWidgets.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_08_12_sd_SeedInitialDashboardWidgets.sql,2022-09-09 09:54:33.790
83,2022_09_13_ALTER_PriceComponentDetail_ADD_COLUMN_IsCostComponent.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_13_ALTER_PriceComponentDetail_ADD_COLUMN_IsCostComponent.sql,2022-09-15 14:19:22.800
84,2022_09_15_ALTER_Credential_ADD_COLUMN_TermsAndConditionsAcceptedDateTime.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_15_ALTER_Credential_ADD_COLUMN_TermsAndConditionsAcceptedDateTime.sql,2022-09-15 14:19:22.990
